imdbid,title,rating,director,cast,duration,descripton
tt9193612,"Kimi to, nami ni noretara (2019)",6.9,Masaaki Yuasa,"RyÃ´ta Katayose,Rina Kawaei,Honoka Matsumoto,KentarÃ´ ItÃ´",1H34M,"Kimi to, nami ni noretara is a movie starring RyÃ´ta Katayose, Rina Kawaei, and Honoka Matsumoto. A surfer and firefighter meet and fall in love."
tt9193806,73 Cows (2018),8.3,Alex Lockwood,"Jay Wilde,Katja Wilde",15M,"73 Cows is a short starring Jay Wilde and Katja Wilde. A beef farmer struggles with his conscience every time he takes his cows to slaughter, and so sets about doing something extraordinary."
tt9193880,Le Piccole Cose (2018),NA,Alessandra Carrillo,"Alessandra Carrillo,Vincenzo Iantorno,Federico Lucidi,Nathan Macchioni",3M,"Le Piccole Cose is a short starring Alessandra Carrillo, Vincenzo Iantorno, and Federico Lucidi. Small Things Present and past. Similar situations, different reactions: these are the small things that teach you how to love...."
tt9193942,Nizuma kagami (zen) (1940),NA,Kunio Watanabe,"Isuzu Yamada,JÃ´ji Oka,Sadako Sawamura,Akira Tachibana",1H16M,NA
tt9194166,Nizuma agami (go) (1940),NA,Kunio Watanabe,"Isuzu Yamada,JÃ´ji Oka,Sadako Sawamura,Akira Tachibana",1H18M,NA
tt9194978,Reunion (2018),7.6,Murari Mohan Rakshit,"Anindya Pulak Banerjee,Anindita Bose,Sabyasachi Chakraborty,Parambrata Chattopadhyay",2H,"Reunion is a movie starring Anindya Pulak Banerjee, Anindita Bose, and Sabyasachi Chakraborty. The story revolves around a group of boys and girls who came to University to study during the 1990s. Three boys and one girl were batch..."
tt9195772,SharÃªdo maniakusu (Video Game 2018),NA,NA,NA,NA,NA
tt9195896,Il sofÃ  (1990),NA,Lorenzo Onorati,"Gino Concari,Valentine Demy,Virna Anderson,Clodomiro Perrone",NA,NA
tt9195932,Pele de Luz (2018),8.2,AndrÃ© Guiomar,"Anifa Langa,Dulce Langa,Isaura Langa",19M,"Pele de Luz is a short starring Anifa Langa, Dulce Langa, and Isaura Langa. Anifa survives a kidnap. Isa grows old surrounded by fear. In the heart of Maputo in Mozambique, this two sisters face together a place where the belief in..."
tt9196186,Dior J'adore: The New Absolu (Video 2018),7.9,Romain Gavras,"Luisa Bianchin,Gem Refoufi,Charlize Theron",NA,"Dior J'adore: The New Absolu is a video starring Luisa Bianchin, Gem Refoufi, and Charlize Theron. Commercial for Dior J'adore, a fragrance by Christian Dior starring Charlize Theron."
tt9196212,A Rising Tide of Silence (2013),NA,Peter C. Jones,"The Dalai Lama,Thomas Keating",1H15M,"A Rising Tide of Silence is a movie starring The Dalai Lama and Thomas Keating. A documentary about the contemplative religious movement and the practice of centered prayer, focusing on one of its pioneer practitioners."
tt9196244,Flinch (TV Series 2019â€“ ),4,NA,"Seann Walsh,Lloyd Griffith,Desiree Burch,John McGinn",NA,"Flinch is a TV series starring Seann Walsh, Lloyd Griffith, and Desiree Burch. Faced with various frightening and uncomfortable events, contestants in this game show had better not flinch - or they'll suffer painful consequences."
tt9196292,Zolotaya lipa (1980),NA,Tsezar Orshanskiy,"Lyudmila Ignatenko,Georgiy Kishko,Lyudmila Logiyko",8M,"Zolotaya lipa is a short starring Lyudmila Ignatenko, Georgiy Kishko, and Lyudmila Logiyko. A lion cub lives on a distant island, in which his friend, a monkey, is sick. In order to cure the ailment, the lion cub covered the monkey..."
tt9196352,The Psychologist (TV Series 2018â€“ ),NA,NA,"Keren Mor,Guy Gurevich,Tal Friedman,Rotem Sela",NA,"The Psychologist is a TV series starring Keren Mor, Guy Gurevich, and Tal Friedman. Tuti Liblich was fired from her job and decides to start a new product of 3 minutes online therapy."
tt9196380,Nerzhaveyushchiy (2018),4.6,Daniil Lazarenkov,"Georgiy Budz,Vladislav Chechilo,Anna Cherekhnovich,Sergey Druzhko",NA,NA
tt9196442,Il Dominio della Lacrima (2018),NA,Manuel Koch,"Mino Caprio,Luca De Marchi,Giordano di Stasio,Manuel Koch",2H3M,"Il Dominio della Lacrima is a movie starring Mino Caprio, Luca De Marchi, and Giordano di Stasio. Daniel Montenovo is a young ""shy hedonist"", a University student about to graduate with the wise and mysterious professor Petrovicz as..."
tt9196638,Scottato come il pane (2017),NA,Vits,"Luis Brenson,Kawawa",6M,Scottato come il pane is a short starring Luis Brenson and Kawawa. A surreal comedy about 2 young men and their fight over bread.
tt9196684,Otchiy bereg (TV Series 2017),NA,NA,"Aleksey Kravchenko,Eva Shevchenko-Golovko",NA,"Otchiy bereg is a TV series starring Aleksey Kravchenko and Eva Shevchenko-Golovko. An epic family saga set in the Russian Urals before, during and after the Second World War. The story is centered on the Morozov family - Aleksey,..."
tt9196870,Toumeina yurikago (TV Mini-Series 2018),NA,NA,"Yasushi Fuchikami,Mieko Harada,ShÃ´no Hayama,Masami Horiuchi",NA,"Toumeina yurikago is a TV mini-series starring Yasushi Fuchikami, Mieko Harada, and ShÃ´no Hayama. In the Summer of 1997, Aoi is a 17-year-old girl. She begins to work at a maternity hospital as an apprentice nurse. She witnesses an..."
tt9197462,"Quota of the Serial Killer Cult of Richmond, Virginia (2018)",NA,Michael Ivey,"Steve Hurwitz,Algin Strickland,Thomas K. Belgrey,Kera O'Bryon",NA,"Quota of the Serial Killer Cult of Richmond, Virginia is a short starring Steve Hurwitz, Algin Strickland, and Thomas K. Belgrey. When inept serial killer Steve MacDonald doesn't meet his cult's quota, he's placed on probation until..."
tt9197784,A Very Different Priest (2019),NA,Jose C. Lima,"Javier Cazares,Karlos Granada,Jeny Lawrence,Carlos VelÃ¡zquez Mala",1H15M,NA
tt9197798,Poveliteli molniy (1985),6.2,Boris Akulinichev,"Aleksandr Belyavskiy,Aleksey Borzunov,Klara Rumyanova",10M,NA
tt9198080,Tuman iz Londona (1992),5.7,Boris Tuzanovich,"Lyudmila Ilyina,Aleksandr Lushchik,Igor Vernik",8M,NA
tt9198164,Letniy snegovik (1994),6.3,Boris Tuzanovich,"Lyudmila Gnilova,Pavel Ivanov,Aleksandr Lushchik,Georgy Stolyarov",7M,NA
tt9198314,Rezvyy (1990),6.2,Valeriy Fomin,"T. Akhlyustina,Aleksey Borzunov,Vsevolod Larionov",9M,NA
tt9198330,Nad nami ne kaplet (1984),6.2,Anatoliy Alyashev,NA,7M,NA
tt9198402,Pritcha o romashkakh (1975),6,Anatoliy Alyashev,NA,8M,NA
tt9198510,Obezyana i cherepakha (1992),6,Vladimir Arbekov,"Anatoliy Barantsev,Zinaida Naryshkina,Mariya Vinogradova",8M,NA
tt9198562,"""Daig kayo ng lola ko"" Kakabog-kabog, kakadog-kadog (TV Episode 2018)",NA,Rico Gutierrez,"Jillian Ward,David Remo,Chlaui Malayao,Julius Erasga",NA,NA
tt9198702,Son Iclas (2018),8.3,NA,"Elnur Gadirov,Elnur Huseynov,Sabuhi Khanlarov,Mirzaagha Mirzayev",58M,"Son Iclas is a movie starring Elnur Gadirov, Elnur Huseynov, and Sabuhi Khanlarov. The feature documentary film dedicated to the 100th anniversary of the Azerbaijan Democratic Republic. The film highlights the events that took place..."
tt9198868,Hur man nÃ¤rmar sig ett stort hÃ¥l (2018),6,Sawandi Groskind,"Ebrahim Saberi,Miragha Sediqi,Victoria Drugg,Fazila Sediqi",22M,"Hur man nÃ¤rmar sig ett stort hÃ¥l is a short starring Ebrahim Saberi, Miragha Sediqi, and Victoria Drugg. A big sinkhole emerges in a small town ahead of the local elections. Masoud, a local politician in the midst of his election..."
tt9198974,Ma Ge shi zuo cheng (2019),6.4,Shaohong Li,"Baihe Bai,Darren Grosvenor,Jue Huang,Gang Wu",2H,"Ma Ge shi zuo cheng is a movie starring Baihe Bai, Darren Grosvenor, and Jue Huang. Macau's return to Chinese sovereignty in 1999 ushered in that city's ""golden age."" By 2012, the value of Macau's gaming industry was nine times that..."
tt9198986,Divine Daycare (2018),NA,Roni Geffen,NA,59M,NA
tt9199032,Louis Theroux's Altered States (TV Series 2018),7.9,NA,"Louis Theroux,Lawrie Brown,Deborah Cousaid,Mel Galloway",NA,"Louis Theroux's Altered States is a TV series starring Louis Theroux, Lawrie Brown, and Deborah Cousaid. Louis Theroux explores the unusual ways modern America deals with birth, love and death."
tt9199142,Soy una tumba (2018),5.2,Khris Cembe,NA,12M,NA
